,delete_authorship,delete_paper,delete_author
min,0.25801730155944824,0.2562530040740967,0.2565791606903076
max,0.3067913055419922,0.2679712772369385,0.259951114654541
mean,0.2641962289810181,0.25903513431549074,0.2581156253814697
