,title_of_paper,authors_of,are_collaborators,mean_authors_per_paper
min,0.15306973457336426,0.15320825576782227,0.16360116004943848,0.1645665168762207
max,0.3977785110473633,0.1956796646118164,0.25117921829223633,0.19024157524108887
mean,0.18642208576202393,0.15937330722808837,0.17594361305236816,0.1741915225982666
