,create_paper,create_author,create_reference,create_authorship
min,0.22216129302978516,0.2183840274810791,0.22023916244506836,0.21689462661743164
max,0.29540109634399414,0.2255704402923584,0.2364051342010498,0.24816012382507324
mean,0.23232202529907225,0.22322020530700684,0.22488038539886473,0.22392256259918214
