,title_of_paper,authors_of,are_collaborators,mean_authors_per_paper
min,0.14380812644958496,0.14452886581420898,0.14600014686584473,0.15495538711547852
max,0.19003009796142578,0.19400262832641602,0.17499804496765137,0.16900229454040527
mean,0.15341598987579347,0.15142903327941895,0.1510716676712036,0.15837407112121582
