,create_paper,create_author,create_reference,create_authorship
min,0.3101475238800049,0.306490421295166,0.32999491691589355,0.31473469734191895
max,0.3101475238800049,0.306490421295166,0.32999491691589355,0.31473469734191895
mean,0.3101475238800049,0.306490421295166,0.32999491691589355,0.31473469734191895
