,create_papers,create_authors,create_references,create_authorships,fill_database,clear_database
min,0.15079903602600098,0.1521623134613037,0.15455889701843262,0.1537930965423584,0.6171936988830566,0.16036319732666016
max,0.21201825141906738,0.16658639907836914,0.17638301849365234,0.1773545742034912,0.6794040203094482,0.25107622146606445
mean,0.15901565551757812,0.15649628639221191,0.15974364280700684,0.15818099975585936,0.6334365844726563,0.1717303991317749
