,title_of_paper,authors_of,are_collaborators,mean_authors_per_paper
min,0.14720654487609863,0.14937543869018555,0.15038752555847168,0.15949368476867676
max,0.2030165195465088,0.21490883827209473,0.23471903800964355,0.18011999130249023
mean,0.15779519081115723,0.16075828075408935,0.160528564453125,0.16398208141326903
