,title_of_paper,authors_of,are_collaborators,mean_authors_per_paper
min,0.14624953269958496,0.14638829231262207,0.1473991870880127,0.15810728073120117
max,0.18461322784423828,0.18590164184570312,0.22716975212097168,0.2022550106048584
mean,0.15340518951416016,0.15446512699127196,0.15720365047454835,0.1690427303314209
