,create_paper,create_author,create_reference,create_authorship
min,0.15364813804626465,0.15293216705322266,0.15908479690551758,0.16239333152770996
max,0.16399836540222168,0.1577134132385254,0.21625947952270508,0.20336508750915527
mean,0.15627105236053468,0.15511007308959962,0.16733355522155763,0.16821739673614503
