,create_paper,create_author,create_reference,create_authorship
min,0.029647350311279297,0.029993057250976562,0.029647350311279297,0.019631385803222656
max,0.07025480270385742,0.08155345916748047,0.12855052947998047,0.09965896606445312
mean,0.03749281167984009,0.037833750247955322,0.0471872091293335,0.0337335467338562
