,create_paper,create_author,create_reference,create_authorship
min,0.031862258911132812,0.029993057250976562,0.03961324691772461,0.028307437896728516
max,0.08000612258911133,0.07000446319580078,0.12998580932617188,0.11002540588378906
mean,0.0462031364440918,0.04295519420078823,0.05705015999930245,0.04241432462419782
