,create_paper,create_author,create_reference,create_authorship
min,0.02999544143676758,0.029938220977783203,0.068206787109375,0.03998756408691406
max,0.04872798919677734,0.046160221099853516,0.08996009826660156,0.07003068923950195
mean,0.039261579513549805,0.036208629608154297,0.07383187611897786,0.05218863487243652
