,delete_authorship,delete_paper,delete_author
min,0.2529590129852295,0.25220751762390137,0.2520747184753418
max,0.30431532859802246,0.3800373077392578,0.25461530685424805
mean,0.2591559410095215,0.26611335277557374,0.2533815622329712
