,create_paper,create_author,create_reference,create_authorship
min,0.26195430755615234,0.26228904724121094,0.2644360065460205,0.26128387451171875
max,0.266021728515625,0.28006815910339355,0.39273858070373535,0.2821218967437744
mean,0.26395065784454347,0.26514477729797364,0.27849364280700684,0.2644638538360596
