,title_of_paper,authors_of,are_collaborators,mean_authors_per_paper
min,0.25636720657348633,0.258009672164917,0.2603919506072998,0.2683565616607666
max,0.2616751194000244,0.3811321258544922,0.26496028900146484,0.2803153991699219
mean,0.25915400981903075,0.2724433660507202,0.26264488697052,0.27055299282073975
